,2017,2016,2015,2014,2013,2012,2011,2010,2009
Georgia,ER Visit Rate,ER Visit Rate,ER Visit Rate,ER Visit Rate,ER Visit Rate,ER Visit Rate,ER Visit Rate,ER Visit Rate,ER Visit Rate
,"38,515.90","38,335.70","37,693.60","37,480.30","37,263.30","38,759.20","36,904.80","36,365.30","36,824.10"
